Dish,Count
rice,19029
chicken,13114
beef,7157
chinese food,6129
pork,6040
shrimp,5359
fried rice,4713
oca,4420
meat,3719
dim sum,3555
buffet,3003
salt,2723
asti,2606
egg roll,2108
wonton,2104
dumplings,1992
orange chicken,1804
seafood,1535
garlic,1452
broccoli,1447
noodle soup,1410
tuna,1323
panda express,1260
mongolian beef,1256
bra,1181
onion,1166
beans,1113
spring roll,1065
chow mein,1059
mushroom,1014
toma,924
hot and sour soup,880
asino,861
lo mein,853
honey,846
cheese,823
pf chang,818
the orange chicken,785
hong kong,758
lemon,755
soy sauce,755
cookie,741
wonton soup,730
steak,706
gur,703
lobster,699
fast food,686
kung pao chicken,683
black bean,676
dal,676
nuts,668
won ton,662
mushrooms,640
white rice,606
sesame chicken,575
salt and pepper,567
chinese buffet,558
rice noodle,522
ice cream,510
hot pot,505
brown rice,505
pork belly,474
lamb,466
pork chop,466
deep fried,465
strip mall,457
calamari,442
green bean,432
fried chicken,425
chicken fried,420
green onion,417
chicken wings,414
cucumber,405
sea bass,403
green beans,380
sandwich,379
menta,359
pici,347
dipping sauce,345
ada,334
cream cheese,334
dried,328
rice noodles,328
peas,327
squid,325
general tso's chicken,324
salmon,324
fortune cookie,323
garlic sauce,321
basil,314
stir fry,302
iced tea,302
beef chow fun,298
roti,298
peking duck,296
chile,290
sweet and sour pork,283
honey walnut,283
egg foo young,279
chili sauce,275
black beans,274
steamed rice,269
pizza,267
san francisco,267
chinese cuisine,265
bok choy,262
sage,261
congee,258
green tea,257
dimsum,255
sushi samba,255
pork chops,254
sticky rice,251
credit card,247
asian cuisine,246
burrito,243
wonton noodle,234
stir fried,234
sweet and sour sauce,227
cashew chicken,225
black pepper,224
main course,217
mexican food,216
spare ribs,211
short rib,210
bay area,198
green onions,187
spinach,187
sushi rolls,185
riso,185
hot sauce,182
tripe,181
brown sauce,181
comfort food,180
bell pepper,179
vermicelli,177
americanized chinese food,177
tom yum,174
potatoes,171
oyster sauce,170
filet,166
pita,163
bacon,161
great wall,161
bean curd,159
food court,158
fish tank,158
salsa,157
jade chicken,143
shaved ice,140
peanut sauce,139
mu shu,137
mint,135
gold coast,132
food poisoning,131
los angeles,130
xo sauce,129
miso soup,128
pears,127
rice cake,127
condensed milk,119
asparagus,117
language barrier,115
fried egg,115
guacamole,115
meatball,112
standard chinese,111
gluten free,110
bell peppers,108
kobe beef,106
char siu,104
mele,103
with black bean sauce,101
pepper steak,100
chop suey,100
chicken rice,98
chili pepper,98
fish ball,98
hoisin sauce,97
mapo tofu,97
california roll,96
pere,92
fried fish,92
green pepper,92
fish sauce,92
red pepper,86
mandalay bay,85
red chili,83
pork ribs,82
coconut milk,81
truffle,80
fruits,80
date night,80
shark fin,80
soy milk,79
mussels,79
pasta,79
sesame seed,78
of garlic,77
general chicken,77
salad bar,73
sweet potato,73
zucchini,73
jasmine tea,73
duck sauce,72
credit cards,70
beef broccoli,70
spaghetti,68
refried beans,67
lo mien,67
chicken soup,66
roti canai,65
prime rib,64
japanese food,64
braised pork,63
filet mignon,63
sesame seeds,61
almond chicken,59
planet hollywood,59
strawberries,58
monte carlo,58
soft drink,58
chips and salsa,58
ribeye,57
octopus,56
chinese sausage,56
sesame oil,56
taco bell,56
frog legs,55
southern california,54
napa cabbage,54
chocolate cake,53
food truck,53
twice cooked pork,52
mixed vegetable,52
peanut butter,52
san gabriel,51
mu shu pork,51
saving grace,51
great taste,50
the stir fry,49
monday night,49
hot n sour soup,49
cash register,48
foie gras,48
beef tenderloin,48
bobo brazil,48
sin city,47
french fries,47
diet coke,46
margaritas,46
red rice,44
chicken skewer,44
las vegas strip,42
egg white,42
corn starch,42
olive,42
bitter melon,42
acqui,41
hot dog,40
red peppers,40
monterey park,40
sunday brunch,40
guy fieri,39
neo tokyo,39
the dimsum,39
thai curry,39
chinese american,38
king crab,38
vada,38
sweet soy,37
street food,37
shrimp paste,37
soft drinks,37
jasmine rice,37
soft serve,37
mashed potato,36
shark fin soup,36
bubble tea,36
bachelorette party,36
tsao's chicken,35
lazy susan,35
new york style chinese,35
san gabriel valley,35
creme brule,34
elba,34
white sauce,34
orange county,34
apples,34
mashed potatoes,33
passion fruit,33
lard,33
pork chop rice,33
rice paper,32
bone marrow,32
chorizo,32
beef tongue,32
guilty pleasure,31
cantonese cuisine,31
beef rice,31
food allergies,31
sea salt,30
double check,30
carnitas tacos,30
tap water,30
creme brulee,30
litti,30
light rail,30
fondue,29
downtown phoenix,28
casa grande,28
pulled pork,28
fountain hills,28
soda fountain,28
christmas eve,28
